,,【販売スケジュール】,,,2024年4月
,,八草キャンパス,,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,,本館玄関脇
1,月,,,,
2,火,,金しゃち（唐揚げ）,,
3,水,,,,
4,木,,,,
5,金,,金しゃち（唐揚げ）,,
6,土,,,,
7,日,,,,
8,月,,,,
9,火,,金しゃち（唐揚げ）,,
10,水,ブラザー69（バーガー）,カッパドキア（ケバブ）,Take Eat EZY（丼）,Shinobu kitchen car company （丼）
11,木,粉もの本舗 kurukurku（たこ焼き）,YAMA BAL（ホットサンド）,シーハウス（韓国料理）,
12,金,金しゃち（唐揚げ）,バターの森２号車(クロワッサン）,あげものHouseゆみちゃん（からあげ、丼）,
13,土,,,,
14,日,,,,
15,月,ポポ（メロンパン）,シーハウス（韓国料理）,熊猫厨房（中華ホットロール）,
16,火,クイーンズカフェ（ケバブ）,金しゃち（唐揚げ）,,
17,水,ブラザー69（バーガー）,Happy Earth（クロッフル）,,MYきっちん（揚げパン）
18,木,UNO express（タコス）,YAMA BAL（ホットサンド）,,
19,金,金しゃち（唐揚げ）,サニーズ（クレープ）,,
20,土,,,,
21,日,,,,
22,月,YAMA BAL（ホットサンド）,ぱんだ Kitchen（ベビカス）,,
23,火,MYきっちん（揚げパン）,金しゃち（唐揚げ）,,
24,水,ディレクティーズ（ホットドック）,シーハウス（韓国料理）,,諭吉のからあげ（からあげ）
25,木,パインリーフ（クレープ）,Take Eat EZY（丼）,,
26,金,金しゃち（唐揚げ）,ピースカフェ（クロワッサンサンド）,,
27,土,,,,
28,日,,,,
29,月,,,,
30,火,,,,
