【販売スケジュール】,,,,2022年10月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館２階駐輪場前
1,土,,,
2,日,,,
3,月,Take Eat EZY（丼）,アルス（インドカレー）,
4,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
5,水,サニーズ（クレープ）,ベイサデケバブ（ケバブ）,ハニーエイト（ハニーポテト）
6,木,大学祭,,
7,金,大学祭,,
8,土,大学祭,,
9,日,大学祭,,
10,月,,,
11,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
12,水,白雪姫（たこ焼き）,からあげ178（からあげ丼）,ブラザー69（バーガー）
13,木,サニーズ（クレープ）,●Deli di compagne,
14,金,金鯱からあげ（からあげ）,Rkwalk（幸せの黄金鯛焼き）,
15,土,,,
16,日,,,
17,月,Take Eat EZY（丼）,ベイサデケバブ（ケバブ）,
18,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
19,水,からあげ178（からあげ丼）,ハニーエイト（ハニーポテト）,アルス（インドカレー）
20,木,サニーズ（クレープ）,チキン王国（からあげ）,
21,金,金鯱からあげ（からあげ）,アルス（インドカレー）,
22,土,,,
23,日,,,
24,月,ポポ（メロンパン）,ゆうとはる（モンブラン）,
25,火,ナカタノサカナ(海鮮）※短縮営業,金鯱からあげ（からあげ）,
26,水,パインリーフ（クレープ）,諭吉のからあげ（からあげ）,Aladdin（スムージー）
27,木,ベイサデケバブ（ケバブ）,Take Eat EZY（丼）,
28,金,金鯱からあげ（からあげ）,サニーズ（クレープ）,
29,土,,,
30,日,,,
31,月,cooking smile sweets(パフェ),アルス（インドカレー）,
,,※予定は変更になることがあります。,,
