【販売スケジュール】,,,,2022年9月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館２階駐輪場前
1,木,,,
2,金,,,
3,土,,,
4,日,,,
5,月,,,
6,火,,,
7,水,,,
8,木,,,
9,金,,,
10,土,,,
11,日,,,
12,月,,,
13,火,,,
14,水,,,
15,木,,,
16,金,,,
17,土,,,
18,日,,,
19,月,,,
20,火,,,
21,水,,,
22,木,サニーズ（クレープ）,ブラザー69（バーガー）,
23,金,金鯱からあげ（からあげ）,ライスアップ（ベトナム料理）,
24,土,,,
25,日,,,
26,月,ブラザー69（バーガー）,ハニーエイト（ハニーポテト）,
27,火,ヘヴンズカフェ(ケバブ）,金鯱からあげ（からあげ）,
28,水,白雪姫（たこ焼き）,ベイサデケバブ（ケバブ）,サニーズ（クレープ）
29,木,粉もの本舗 kurukurku（たこ焼き）,Take Eat EZY（丼）,
30,金,金鯱からあげ（からあげ）,アルス（インドカレー）,
,,※予定は変更になることがあります。,,
