【販売スケジュール】,,,,2023年11月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1,水,,,
2,木,熊猫厨房（中華ホットロール）,パインリーフ（クレープ）,
3,金,,,
4,土,,,
5,日,,,
6,月,アルス（インドカレー）,バターの森２号車(クロワッサン）,
7,火,Take Eat EZY（丼）,金しゃち（唐揚げ）,
8,水,YAMA BAL（ホットサンド）,パインリーフ（クレープ）,キッチンカーナ（たこ焼き）
9,木,サニーズ（クレープ）,カッパドキア（ケバブ）,
10,金,金しゃち（唐揚げ）,MYきっちん（揚げパン）,
11,土,,,
12,日,,,
13,月,,,
14,火,UNO express（タコス）,金しゃち（唐揚げ）,
15,水,キッチンカーナ（たこ焼き）,いしいも(焼き芋）,からあげ178（からあげ丼）
16,木,ブラザー69（バーガー）,miu crepe cafe（クレープ）,
17,金,金しゃち（唐揚げ）,MYきっちん（揚げパン）,
18,土,,,
19,日,,,
20,月,シーハウス（韓国料理）,クレープショップSARU(クレープ),
21,火,サニーズ（クレープ）,金しゃち（唐揚げ）,
22,水,YAMA BAL（ホットサンド）,ハニーエイト（ハニーポテト）,アルス（インドカレー）
23,木,,,
24,金,金しゃち（唐揚げ）,miu crepe cafe（クレープ）,
25,土,,,
26,日,,,
27,月,MYきっちん（揚げパン）,ポポ（メロンパン）,
28,火,粉もの本舗 kurukurku（たこ焼き）,金しゃち（唐揚げ）,
29,水,che'rie（ホットドック）,パインリーフ（クレープ）,ハニーエイト（ハニーポテト）
30,木,Take Eat EZY（丼）,まんぷくデイズ（揚げパン）,
