,,【販売スケジュール】,,2023年5月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1,月,ヘヴンズカフェ(ケバブ）,キッチンカーナ（たこ焼き）,
2,火,金しゃち（唐揚げ）,ライスアップ（ベトナム料理）,
3,水,,,
4,木,,,
5,金,,,
6,土,,,
7,日,,,
8,月,まんぷくデイズ（揚げパン）,メルハバカフェ（ケバブ）,
9,火,Take Eat EZY（丼）,金しゃち（唐揚げ）,
10,水,たこ本舗（たこ焼き）,Daria（韓国料理）,まんぷくデイズ（揚げパン）
11,木,ヘヴンズカフェ(ケバブ）,キッチンカーナ（たこ焼き）,
12,金,金しゃち（唐揚げ）,ブラザー69（バーガー）,
13,土,,,
14,日,,,
15,月,サニーズ（クレープ）,ちゃ銀（台湾餃子）,
16,火,いしいも(焼き芋）,金しゃち（唐揚げ）,
17,水,アルス（インドカレー）,MYきっちん（揚げパン）,ヘヴンズカフェ(ケバブ）
18,木,ブラザー69（バーガー）,クレープショップSARU(クレープ),
19,金,金しゃち（唐揚げ）,シーハウス（韓国料理）,
20,土,,,
21,日,,,
22,月,まんぷくデイズ（揚げパン）,メルハバカフェ（ケバブ）,
23,火,Daria（韓国料理）,金しゃち（唐揚げ）,
24,水,レスト（フルーツジュース）,Che'rie（ホットドック）,まんぷくデイズ（揚げパン）
25,木,ヘヴンズカフェ(ケバブ）,サニーズ（クレープ）,
26,金,金しゃち（唐揚げ）,MYきっちん（揚げパン）,
27,土,,,
28,日,,,
29,月,キッチンカーナ（たこ焼き）,Daria（韓国料理）,
30,火,ブラザー69（バーガー）,金しゃち（唐揚げ）,
31,水,チビクロ（クロワッサン）,ヘヴンズカフェ(ケバブ）,Take Eat EZY（丼）
