Unnamed: 0,八草キャンパス,自由ヶ丘キャンパス,Unnamed: 1,Unnamed: 2
,1号館前,セントラルガーデン,本館玄関脇,
1,木,miu crepe cafe(クレープ),シーハウス2号車(韓国料理),
2,金,金しゃち(唐揚げ),カッパドキア(ケバブ),
3,土,,,
4,日,,,
5,月,Take Eat EZY(丼),ポポ(メロンパン),
6,火,,金しゃち(唐揚げ),
7,水,,,
8,木,,,
9,金,金しゃち(唐揚げ),,
10,土,,,
11,日,,,
12,月,,,
13,火,,金しゃち(唐揚げ),
14,水,,,
15,木,,,
16,金,金しゃち(唐揚げ),,
17,土,,,
18,日,,,
19,月,,,
20,火,,金しゃち(唐揚げ),
21,水,,,
22,木,,,
23,金,,,
24,土,,,
25,日,,,
26,月,,,
27,火,,金しゃち(唐揚げ),
28,水,,,
29,木,,,
