【販売スケジュール】,,,,2023年2月,,
,,八草キャンパス,,自由ヶ丘キャンパス,,
,,1号館前,セントラルガーデン,本館2階駐輪場前,,
1,水,Café de Bossa(クレープ),ヘヴンズカフェ(ケバブ）,MYきっちん（揚げパン）,,
2,木,ブラザー69（バーガー）,miu crepe cafe（クレープ）,,,
3,金,諭吉のからあげ（からあげ）,ポポ（メロンパン）,,,
4,土,,,,,
5,日,,,,,
6,月,miu crepe cafe（クレープ）,MYきっちん（揚げパン）,,,
7,火,84食堂（タコライス、丼）,諭吉のからあげ（からあげ）,,,
8,水,,,,,
9,木,,,,,
10,金,,諭吉のからあげ（からあげ）,,,
11,土,,,,,
12,日,,,,,
13,月,,,,,
14,火,,諭吉のからあげ（からあげ）,,,
15,水,,,,,
16,木,,,,,
17,金,,諭吉のからあげ（からあげ）,,,
18,土,,,,,
19,日,,,,,
20,月,,,,,
21,火,,諭吉のからあげ（からあげ）,,,
22,水,,,,,
23,木,,,,,
24,金,,諭吉のからあげ（からあげ）,,,
25,土,,,,,
26,日,,,,,
27,月,,,,,
28,火,,諭吉のからあげ（からあげ）,,,
,,,,,,
,,,,,,
,,,,,,
