【販売スケジュール】,,,2022年12月,
,,八草キャンパス,,自由が丘
,,一号館前,セントラルガーデン,本館二階駐車場前
1,木,パインリーフ（クレープ）,アルス（インドカレー）,
2,金,金鯱からあげ（からあげ）,ベイサデケバブ（ケバブ）,
3,土,,,
4,日,,,
5,月,TGサービス（丼）,チルアウト（からあげ）,
6,火,粉もの本舗 kurukurku（たこ焼き）,金鯱からあげ（からあげ）,
7,水,ブラザー69（バーガー）,Happy Earth（クロッフル）,アルス（インドカレー）
8,木,ベイサデケバブ（ケバブ）,からあげ178（からあげ丼）,
9,金,金鯱からあげ（からあげ）,あげものHouseゆみちゃん（からあげ、丼）,
10,土,,,
11,日,,,
12,月,ポポ（メロンパン）,シーハウス（韓国料理）,
13,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
14,水,サニーズ（クレープ）,ベイサデケバブ（ケバブ）,ブラザー69（バーガー）
15,木,Take Eat EZY（丼）,MYきっちん（揚げパン）,
16,金,金鯱からあげ（からあげ）,レスト（フルーツジュース）,
17,土,,,
18,日,,,
19,月,cooking smile sweets(パフェ),MYきっちん（揚げパン）,
20,火,ベイサデケバブ（ケバブ）,金鯱からあげ（からあげ）,
21,水,miu crepe cafe（クレープ）,ハニーエイト（ハニーポテト）,ベイサデケバブ（ケバブ）
22,木,いしいも(焼き芋）,青空キッチン（からあげ丼）,
23,金,金鯱からあげ（からあげ）,サニーズ（クレープ）,
24,土,,,
25,日,,,
26,月,,,
27,火,,,
28,水,,,
29,木,,,
30,金,,,
31,土,,,
※予定は変更になることがあります。,,,,
