【販売スケジュール】,,,,2022年5月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館２階駐輪場前
1,日,,,
2,月,アルス（インドカレー）,,
3,火,,,
4,水,,,
5,木,,,
6,金,金鯱からあげ（からあげ）,ベイサデケバブ（ケバブ）,
7,土,,,
8,日,,,
9,月,ポポ（メロンパン）,粉もの本舗 kurukurku（たこ焼き）,
10,火,●Deli di compagne,金鯱からあげ（からあげ）,
11,水,クイーンズカフェ（ケバブ）,TGサービス（丼）,熊猫飯店（中華ホットロール）
12,木,84食堂（タコライス、丼）,ブラザー69（バーガー）,
13,金,金鯱からあげ（からあげ）,サニーズ（クレープ）,
14,土,,,
15,日,,,
16,月,クイーンズカフェ（ケバブ）,Take Eat EZY（丼）,
17,火,白雪姫（たこ焼き）,金鯱からあげ（からあげ）,
18,水,miu crepe cafe（クレープ）,TGサービス（丼）,アルス（インドカレー）
19,木,錦(焼き芋),ヘヴンズカフェ(ケバブ）,
20,金,金鯱からあげ（からあげ）,アルス（インドカレー）,
21,土,,,
22,日,,,
23,月,ヘヴンズカフェ(ケバブ）,アルス（インドカレー）,
24,火,白雪姫（たこ焼き）,金鯱からあげ（からあげ）,
25,水,ボンボンパリス（フレンチ）,熊猫飯店（中華ホットロール）,サニーズ（クレープ）
26,木,パインリーフ（クレープ）,Take Eat EZY（丼）,
27,金,金鯱からあげ（からあげ）,TGサービス（丼）,
28,土,,,
29,日,,,
30,月,"あげものHouseゆみちゃん（からあげ,",クイーンズカフェ（ケバブ）,
31,火,サニーズ（クレープ）,金鯱からあげ（からあげ）,
