【販売スケジュール】,,,,2022年6月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館２階駐輪場前
1,水,ベイサデケバブ（ケバブ）,TGサービス（丼）,ハニーエイト（ハニーポテト）
2,木,粉もの本舗 kurukurku（たこ焼き）,ブラザー69（バーガー）,
3,金,金鯱からあげ（からあげ）,サニーズ（クレープ）,
4,土,,,
5,日,,,
6,月,クイーンズカフェ（ケバブ）,Take Eat EZY（丼）,
7,火,TGサービス（丼）,金鯱からあげ（からあげ）,
8,水,ブラザー69（バーガー）,アルス（インドカレー）,ベイサデケバブ（ケバブ）
9,木,白雪姫（たこ焼き）,スターキッチン（丼）,
10,金,金鯱からあげ（からあげ）,ヘヴンズカフェ(ケバブ）,
11,土,,,
12,日,,,
13,月,熊猫飯店（中華ホットロール）,TGサービス（丼）,
14,火,スターキッチン（丼）,金鯱からあげ（からあげ）,
15,水,ベイサデケバブ（ケバブ）,パインリーフ（クレープ）,サニーズ（クレープ）
16,木,粉もの本舗 kurukurku（たこ焼き）,あげものHouseゆみちゃん（からあげ、丼）,
17,金,金鯱からあげ（からあげ）,クイーンズカフェ（ケバブ）,
18,土,,,
19,日,,,
20,月,ブラザー69（バーガー）,スターキッチン（丼）,
21,火,アルス（インドカレー）,金鯱からあげ（からあげ）,
22,水,ポポ（メロンパン）,クイーンズカフェ（ケバブ）,Take Eat EZY（丼）
23,木,ベイサデケバブ（ケバブ）,がらくたキッチン（だし巻きドック）,
24,金,金鯱からあげ（からあげ）,TGサービス（丼）,
25,土,,,
26,日,,,
27,月,粉もの本舗 kurukurku（たこ焼き）,スターキッチン（丼）,
28,火,タージベンガル（カレー）,金鯱からあげ（からあげ）,
29,水,クイーンズカフェ（ケバブ）,サニーズ（クレープ）,アルス（インドカレー）
30,木,Take Eat EZY（丼）,アルス（インドカレー）,
,,※予定は変更になることがあります。,,
