【販売スケジュール】,,,,2023年6月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1,木,粉もの本舗 kurukurku（たこ焼き）,レスト（フルーツジュース）,
2,金,金しゃち（唐揚げ）,アルス（インドカレー）,
3,土,,,
4,日,,,
5,月,ポポ（メロンパン）,いしいも(焼き芋）,
6,火,MYきっちん（揚げパン）,金しゃち（唐揚げ）,
7,水,熊猫厨房（中華ホットロール）,Take Eat EZY（丼）,アルス（インドカレー）
8,木,ハニーエイト（ハニーポテト）,キッチンカーナ（たこ焼き）,
9,金,金しゃち（唐揚げ）,アルス（インドカレー）,
10,土,,,
11,日,,,
12,月,66Kitchen's（りんご飴）,サニーズ（クレープ）,
13,火,MYきっちん（揚げパン）,金しゃち（唐揚げ）,
14,水,Happy Earth（クロッフル）,ブラザー69（バーガー）,ハニーエイト（ハニーポテト）
15,木,Rkwalk（幸せの黄金鯛焼き）,Take Eat EZY（丼）,
16,金,金しゃち（唐揚げ）,クイーンズカフェ（ケバブ）,
17,土,,,
18,日,,,
19,月,まんぷくデイズ（揚げパン）,アルス（インドカレー）,
20,火,シーハウス（韓国料理）,金しゃち（唐揚げ）,
21,水,66Kitchen's（りんご飴）,Take Eat EZY（丼）,ブラザー69（バーガー）
22,木,ちゃ銀（台湾餃子）,熊猫厨房（中華ホットロール）,
23,金,金しゃち（唐揚げ）,キッチンカーナ（たこ焼き）,
24,土,,,
25,日,,,
26,月,サニーズ（クレープ）,輝seki（からあげ）,
27,火,キッチンカーナ（たこ焼き）,金しゃち（唐揚げ）,
28,水,Daria（韓国料理）,パインリーフ（クレープ）,クイーンズカフェ（ケバブ）
29,木,ヘヴンズカフェ(ケバブ）,シーハウス（韓国料理）,
30,金,金しゃち（唐揚げ）,粉もの本舗 kurukurku（たこ焼き）,
