【販売スケジュール】,,,,2022年7月
,,八草キャンパス,,自由ヶ丘キャンパス
,,一号館前,セントラルガーデン,本館二階駐車場前
1,金,金鯱からあげ（からあげ）,あげものHouseゆみちゃん（からあげ、丼）,
2,土,,,
3,日,,,
4,月,サニーズ（クレープ）,クイーンズカフェ（ケバブ）,
5,火,アルス（インドカレー）,金鯱からあげ（からあげ）,
6,水,からあげ178（からあげ丼）,ハニーエイト（ハニーポテト）,ヘヴンズカフェ(ケバブ）
7,木,白雪姫（たこ焼き）,Take Eat EZY（丼）,
8,金,金鯱からあげ（からあげ）,ベイサデケバブ（ケバブ）,
9,土,,,
10,日,,,
11,月,アルス（インドカレー）,ヘヴンズカフェ(ケバブ）,
12,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
13,水,クイーンズカフェ（ケバブ）,熊猫飯店（中華ホットロール）,Take Eat EZY（丼）
14,木,ライスアップ（ベトナム料理）,粉もの本舗 kurukurku（たこ焼き）,
15,金,金鯱からあげ（からあげ）,サニーズ（クレープ）,
16,土,,,
17,日,,,
18,月,,,
19,火,ポポ（メロンパン）,金鯱からあげ（からあげ）,
20,水,クイーンズカフェ（ケバブ）,Take Eat EZY（丼）,熊猫飯店（中華ホットロール）
21,木,からあげ178（からあげ丼）,ライスアップ（ベトナム料理）,
22,金,金鯱からあげ（からあげ）,アルス（インドカレー）,
23,土,,,
24,日,,,
25,月,TGサービス（丼）,ベイサデケバブ（ケバブ）,
26,火,サニーズ（クレープ）,金鯱からあげ（からあげ）,
27,水,ブラザー69（バーガー）,ポポ（メロンパン）,アルス（インドカレー）
28,木,アルス（インドカレー）,からあげ178（からあげ丼）,
29,金,金鯱からあげ（からあげ）,クイーンズカフェ（ケバブ）,
30,土,,,
31,日,,,
