【販売スケジュール】                                                                                                     2023年4月,,,,,
,,八草キャンパス,,自由ヶ丘キャンパス,
,,1号館前,セントラルガーデン,本館2階駐輪場前,
,,旧本部棟,セントラル前,自由が丘,
1,土,,,,
2,日,,,,
3,月,,,,
4,火,,金しゃち（唐揚げ）,,
5,水,,,,
6,木,,,,
7,金,,金しゃち（唐揚げ）,,
8,土,,,,
9,日,,,,
10,月,,,,
11,火,,金しゃち（唐揚げ）,,
12,水,ポポ（メロンパン）,ヘヴンズカフェ(ケバブ）,シーハウス（韓国料理）,
13,木,パインリーフ（クレープ）,MYきっちん（揚げパン）,,
14,金,金しゃち（唐揚げ）,ブラザー69（バーガー）,,
15,土,,,,
16,日,,,,
17,月,サニーズ（クレープ）,たこ本舗（たこ焼き）,,
18,火,シーハウス（韓国料理）,金しゃち（唐揚げ）,,
19,水,Take Eat EZY（丼）,ベイサデケバブ（ケバブ）,ブラザー69（バーガー）,
20,木,MYきっちん（揚げパン）,ブラザー69（バーガー）,,
21,金,金しゃち（唐揚げ）,miu crepe cafe（クレープ）,,
22,土,,,,
23,日,,,,
24,月,ブラザー69（バーガー）,シーハウス（韓国料理）,,
25,火,いしいも(焼き芋）,金しゃち（唐揚げ）,,
26,水,パインリーフ（クレープ）,ベイサデケバブ（ケバブ）,MYきっちん（揚げパン）,
27,木,ヘヴンズカフェ(ケバブ）,Rkwalk（幸せの黄金鯛焼き）,,
28,金,金しゃち（唐揚げ）,サニーズ（クレープ）,,
29,土,,,,
30,日,,,,
※予定は変更になる可能性があります。,,,,,
