【販売スケジュール】,,,,2023年12月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1,金,金しゃち（唐揚げ）,カッパドキア（ケバブ）,
2,土,,,
3,日,,,
4,月,夢翔（韓国料理）,MYきっちん（揚げパン）,
5,火,シーハウス（韓国料理）,金しゃち（唐揚げ）,
6,水,YAMA BAL（ホットサンド）,熊猫厨房（中華ホットロール）,ハニーエイト（ハニーポテト）
7,木,パインリーフ（クレープ）,粉もの本舗 kurukurku（たこ焼き）,
8,金,金しゃち（唐揚げ）,ポポ（メロンパン）,
9,土,,,
10,日,,,
11,月,サニーズ（クレープ）,アルス（インドカレー）,
12,火,たこ焼きセブン（たこ焼き）,金しゃち（唐揚げ）,
13,水,MYきっちん（揚げパン）,miu crepe cafe（クレープ）,キッチンカーナ（たこ焼き）
14,木,che'rie（ホットドック）,YAMA BAL（ホットサンド）,
15,金,金しゃち（唐揚げ）,ブラザー69（バーガー）,
16,土,,,
17,日,,,
18,月,MYきっちん（揚げパン）,66Kitchen's（りんご飴）,
19,火,ピースカフェ（クロワッサンサンド）,金しゃち（唐揚げ）,
20,水,Take Eat EZY（丼）,シーハウス2号車（韓国料理）,パインリーフ（クレープ）
21,木,ブラザー69（バーガー）,はらぺこKITCHEN（弁当）,
22,金,金しゃち（唐揚げ）,miu crepe cafe（クレープ）,
23,土,,,
24,日,,,
25,月,サニーズ（クレープ）,熊猫厨房（中華ホットロール）,
26,火,,金しゃち（唐揚げ）,
27,水,,,
28,木,,,
29,金,,,
30,土,,,
31,日,,,
