Unnamed: 0,八草キャンパス,自由ヶ丘キャンパス,Unnamed: 1,Unnamed: 2
,1号館前,セントラルガーデン,本館玄関脇,
1.0,月,,,
2.0,火,,,
3.0,水,,,
4.0,木,,,
5.0,金,,,
6.0,土,,,
7.0,日,,,
8.0,月,,,
9.0,火,,金しゃち(唐揚げ),
10.0,水,,,
11.0,木,シーハウス2号車(韓国料理),Shinobu kitchen car company (丼),
12.0,金,金しゃち(唐揚げ),MYきっちん(揚げパン),
13.0,土,,,
14.0,日,,,
15.0,月,UNO express(タコス),ハニーエイト(ハニーポテト),
16.0,火,粉もの本舗 kurukurku(たこ焼き),金しゃち(唐揚げ),
17.0,水,ヘヴンズカフェ(ケバブ),シーハウス(韓国料理),からあげ178(からあげ丼)
18.0,木,miu crepe cafe(クレープ),アルス(インドカレー),
19.0,金,金しゃち(唐揚げ),ブラザー69(バーガー),
20.0,土,,,
21.0,日,,,
22.0,月,ボンバン(揚げパン),バターの森2号車(クロワッサン),
23.0,火,,,
24.0,水,アルス(インドカレー),ポポ(メロンパン),Take Eat EZY(丼)
25.0,木,はらぺこKITCHEN(弁当),熊猫厨房(中華ホットロール),
26.0,金,金しゃち(唐揚げ),,
27.0,土,,,
28.0,日,,,
29.0,月,,,
30.0,火,ポポ(メロンパン),金しゃち(唐揚げ),
31.0,水,,,
