販売スケジュール,,,2023年1月,
,,八草キャンパス,,自由が丘
,,一号館前,セントラルガーデン,本館二階駐車場前
1,日,,,
2,月,,,
3,火,,,
4,水,,,
5,木,,,
6,金,,,
7,土,,,
8,日,,,
9,月,,,
10,火,,,
11,水,,,
12,木,粉もの本舗 kurukurku（たこ焼き）,アルス（インドカレー）,
13,金,金鯱からあげ（からあげ）,サニーズ（クレープ）,
14,土,,,
15,日,,,
16,月,シーハウス（韓国料理）,Take Eat EZY（丼）,
17,火,メルス（丼）,金鯱からあげ（からあげ）,
18,水,ベイサデケバブ（ケバブ）,錦(焼き芋),クレープショップSARU(クレープ)
19,木,いしいも(焼き芋）,チキン王国（からあげ）,
20,金,,,
21,土,,,
22,日,,,
23,月,ブラザー69（バーガー）,サニーズ（クレープ）,
24,火,いっぷくAloi（ガパオライス）,金鯱からあげ（からあげ）,
25,水,ポポ（メロンパン）,ベイサデケバブ（ケバブ）,錦(焼き芋)
26,木,,,
27,金,,,
28,土,,,
29,日,,,
30,月,サニーズ（クレープ）,ヘヴンズカフェ(ケバブ）,
31,火,いしいも(焼き芋）,金鯱からあげ（からあげ）,
