【販売スケジュール】,,,,2023年7月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1,土,,,
2,日,,,
3,月,チビクロ（クロワッサン）,ポポ（メロンパン）,
4,火,MYきっちん（揚げパン）,金しゃち（唐揚げ）,
5,水,たこ本舗（たこ焼き）,アルス（インドカレー）,ブラザー69（バーガー）
6,木,YAMA BAL（ホットサンド）,che'rie（ホットドック）,
7,金,金しゃち（唐揚げ）,ピースカフェ（クロワッサンサンド）,
8,土,,,
9,日,,,
10,月,チルアウト（からあげ）,いしいも(焼き芋）,
11,火,キッチンカーナ（たこ焼き）,金しゃち（唐揚げ）,
12,水,レスト（フルーツジュース）,たこ本舗（たこ焼き）,サニーズ（クレープ）
13,木,M＆M（丼）,まんぷくデイズ（揚げパン）,
14,金,金しゃち（唐揚げ）,チビクロ（クロワッサン）,
15,土,,,
16,日,,,
17,月,,,
18,火,シーハウス（韓国料理）,金しゃち（唐揚げ）,
19,水,YAMA BAL（ホットサンド）,Locos Paina(ハワイアン）,MYきっちん（揚げパン）
20,木,粉もの本舗 kurukurku（たこ焼き）,ブラザー69（バーガー）,
21,金,金しゃち（唐揚げ）,キッチンカーナ（たこ焼き）,
22,土,,,
23,日,,,
24,月,cooking smile sweets(パフェ),シーハウス（韓国料理）,
25,火,サニーズ（クレープ）,金しゃち（唐揚げ）,
26,水,ポポ（メロンパン）,MYきっちん（揚げパン）,アルス（インドカレー）
27,木,キッチンカーナ（たこ焼き）,いしいも(焼き芋）,
28,金,金しゃち（唐揚げ）,たこ本舗（たこ焼き）,
29,土,,,
30,日,,,
31,月,ダリア（韓国料理）,アルス（インドカレー）,
